ID,Title,Category,Size,Sprint,Owner,Days,Feeds,DoD
BNCH-5,Day-10 projected post-refactor CK + ISO 25010 metrics,Benchmark,M,2,QC,10,"T7, pitch 3",Worksheet committed
BNCH-7,Interface-size audit (ISP ≤ 7),Benchmark,S,2,QC,9-10,T2 testability,Audit table for proposed interfaces
ARCH-10,Desktop client architecture document (5-10 pp),Architecture,XL,2,TL,9-10,"§6.6 deliverable, T3, T4",docs/sub-team-6/architecture.md final
MGMT-6,Sprint 2 review slides + mid-assessment visit material,Management,M,2,SM,10 AM,"§8.2 Day 10, T5 dry-run",Slides committed
MGMT-7,Sprint 2 Kanban snapshot + retro notes,Management,S,2,SM,10 PM,§9.2.5,Image + retro doc
PITCH-3,Address mid-assessment maintainer feedback,Pitch,M,3,TL + POL,11,T4,Changes traced to feedback
PITCH-1,Trade-off analysis (MVVM vs MVP vs MVU; JSON-RPC vs gRPC; UI Toolkit vs IMGUI),Pitch,M,3,TL,11,"§8.3 Day 11, pitch 5",2-page doc
PITCH-2,Final pitch slides for our sub-team content,Pitch,M,3,SM + TL,12,T5,Slides committed
MGMT-8,Sprint 3 Kanban snapshot + sub-team retro,Management,S,3,SM,12 PM,§10.2,Image + retro doc
IND-1,Individual reflection — student A,Individual,S,3,A,11-13,§9.3,2-page PDF submitted
IND-2,Individual reflection — student B,Individual,S,3,B,11-13,§9.3,2-page PDF submitted
IND-3,Individual reflection — student C,Individual,S,3,C,11-13,§9.3,2-page PDF submitted
IND-4,Individual reflection — student D,Individual,S,3,D,11-13,§9.3,2-page PDF submitted
IND-5,Peer-rated contribution table — student A,Individual,S,3,A,11-13,§9.3,Submitted privately
IND-6,Peer-rated contribution table — student B,Individual,S,3,B,11-13,§9.3,Submitted privately
IND-7,Peer-rated contribution table — student C,Individual,S,3,C,11-13,§9.3,Submitted privately
IND-8,Peer-rated contribution table — student D,Individual,S,3,D,11-13,§9.3,Submitted privately
